,url
220,https://docs.microsoft.com/en-us/azure/azure-sql/managed-instance/
221,https://docs.microsoft.com/en-us/azure/azure-sql-edge/overview
222,https://docs.microsoft.com/en-us/azure/sql-data-warehouse/sql-data-warehouse-overview-what-is/
223,https://docs.microsoft.com/en-us/azure/azure-sql/virtual-machines/linux/
224,https://docs.microsoft.com/en-us/sql/sql-server/what-s-new-in-sql-server-ver15
225,https://docs.microsoft.com/en-us/sql/big-data-cluster/big-data-cluster-overview
226,https://docs.microsoft.com/en-us/azure/dms/dms-overview
227,https://docs.microsoft.com/en-us/analysis-services/instances/install-windows/install-analysis-services/
228,https://docs.microsoft.com/en-us/azure/sql-database/sql-database-develop-overview
229,https://docs.microsoft.com/en-us/azure/sql-database/sql-database-connect-query#libraries
230,https://docs.microsoft.com/en-us/power-bi/report-server/get-started
231,https://docs.microsoft.com/en-us/power-bi/service-get-started
232,https://docs.microsoft.com/en-us/analysis-services/analysis-services-overview
233,https://docs.microsoft.com/en-us/azure/analysis-services/
234,https://docs.microsoft.com/en-us/azure/machine-learning/
235,https://docs.microsoft.com/en-us/surface/get-started
236,https://docs.microsoft.com/en-us/dynamics365/get-started/whats-new/
237,https://docs.microsoft.com/en-us/dynamics365/business-central/index
238,https://docs.microsoft.com/en-us/learn/browse/?products=dynamics-business-central
239,https://docs.microsoft.com/en-us/dynamics365/commerce/index
240,https://docs.microsoft.com/en-us/learn/browse/?products=dynamics-retail
241,https://docs.microsoft.com/en-us/dynamics365/ai/customer-insights/index
242,https://docs.microsoft.com/en-us/dynamics365/customer-service/index
243,https://docs.microsoft.com/en-us/learn/browse/?products=dynamics-customer-service
244,https://docs.microsoft.com/en-us/dynamics365/ai/customer-service-insights/overview
245,https://docs.microsoft.com/en-us/dynamics365/field-service/user-guide
246,https://docs.microsoft.com/en-us/learn/browse/?products=dynamics-field-service
247,https://docs.microsoft.com/en-us/dynamics365/finance/index
248,https://docs.microsoft.com/en-us/learn/browse/?products=dynamics-finance
249,https://docs.microsoft.com/en-us/dynamics365/fraud-protection/overview
250,https://docs.microsoft.com/en-us/dynamics365/mixed-reality/guides/index
251,https://docs.microsoft.com/en-us/dynamics365/human-resources/hr-welcome
252,https://docs.microsoft.com/en-us/learn/browse/?term=human resources
253,https://docs.microsoft.com/en-us/dynamics365/mixed-reality/layout/index
254,https://docs.microsoft.com/en-us/dynamics365/marketing/help-hub
255,https://docs.microsoft.com/en-us/learn/browse/?products=dynamics-marketing
256,https://docs.microsoft.com/en-us/dynamics365/product-insights/index
257,https://docs.microsoft.com/en-us/dynamics365/mixed-reality/product-visualize/index
258,https://docs.microsoft.com/en-us/learn/browse/?products=dynamics-psa
259,https://docs.microsoft.com/en-us/dynamics365/mixed-reality/remote-assist/index
260,https://docs.microsoft.com/en-us/dynamics365/sales-enterprise/help-hub
261,https://docs.microsoft.com/en-us/learn/browse/?resource_type=learning path&products=dynamics-sales
262,https://docs.microsoft.com/en-us/dynamics365/ai/sales/overview
263,https://docs.microsoft.com/en-us/learn/browse/?resource_type=learning path&products=dynamics-sales-insights
264,https://docs.microsoft.com/en-us/dynamics365/sales-professional/help-hub
265,https://docs.microsoft.com/en-us/learn/browse/?resource_type=learning path&products=dynamics-sales&term=sales professional
266,https://docs.microsoft.com/en-us/dynamics365/supply-chain/index
267,https://docs.microsoft.com/en-us/learn/browse/?products=dynamics-scm
268,https://docs.microsoft.com/en-us/dynamics365/talent/talent-welcome
269,https://docs.microsoft.com/en-us/learn/browse/?term=talent
270,https://docs.microsoft.com/en-us/power-platform/index
271,https://docs.microsoft.com/en-us/forms-pro/index
272,https://docs.microsoft.com/en-us/dynamics365/customerengagement/on-premises/overview
273,https://docs.microsoft.com/en-us/dynamics365/mixed-reality/import-tool/index
274,https://docs.microsoft.com/en-us/learn/browse/?roles=developer&products=xamarin
275,https://docs.microsoft.com/en-us/samples/browse/?products=xamarin&term=Xamarin.Forms get started
276,https://docs.microsoft.com/en-us/samples/browse/?products=xamarin&term=Xamarin.Forms
277,https://docs.microsoft.com/en-us/samples/browse/?products=xamarin&term=Xamarin.Android
278,https://docs.microsoft.com/en-us/samples/browse/?products=xamarin&term=Xamarin.iOS
279,https://docs.microsoft.com/en-us/samples/browse/?products=xamarin&term=Xamarin.Mac
280,https://docs.microsoft.com/en-us/azure/devops/release-notes/
281,https://docs.microsoft.com/en-us/azure/devops/release-notes/docswhatsnew/
282,https://docs.microsoft.com/en-us/azure/devops/server/install/get-started
283,https://docs.microsoft.com/en-us/azure/devops/server/upgrade/get-started
284,https://docs.microsoft.com/en-us/azure/devops/server/admin/admin-quick-ref
285,https://docs.microsoft.com/en-us/azure/devops/project/
286,https://docs.microsoft.com/en-us/azure/devops-project/azure-devops-project-github
287,https://docs.microsoft.com/en-us/rest/api/vsts/
288,https://docs.microsoft.com/en-us/sccm/
289,https://docs.microsoft.com/en-us/system-center/dpm/
290,https://docs.microsoft.com/en-us/system-center/scom/
291,https://docs.microsoft.com/en-us/system-center/orchestrator/
292,https://docs.microsoft.com/en-us/system-center/scsm/
293,https://docs.microsoft.com/en-us/system-center/sma/
294,https://docs.microsoft.com/en-us/system-center/vmm/
295,https://docs.microsoft.com/en-us/system-center/spf/
296,https://docs.microsoft.com/en-us/powershell/systemcenter/systemcenter2016/dataprotectionmanager/vlatest/dataprotectionmanager
297,https://docs.microsoft.com/en-us/rest/operationsmanager
298,https://docs.microsoft.com/en-us/powershell/systemcenter/systemcenter2016/operationsmanager/vlatest/operationsmanager
299,https://docs.microsoft.com/en-us/powershell/systemcenter/systemcenter2016/servicemanagementautomation/vlatest/microsoft.systemcenter.servicemanagementautomation
300,https://docs.microsoft.com/en-us/powershell/systemcenter/systemcenter2016/servicemanager/vlatest/servicemanager
301,https://docs.microsoft.com/en-us/powershell/systemcenter/systemcenter2016/serviceproviderfoundation/vlatest/spfadmin
302,https://docs.microsoft.com/en-us/powershell/systemcenter/systemcenter2016/VirtualMachineManager/vlatest/VirtualMachineManager
303,https://docs.microsoft.com/en-us/system-center/dpm/dpm-release-notes
304,https://docs.microsoft.com/en-us/system-center/scom/release-notes-om
305,https://docs.microsoft.com/en-us/system-center/orchestrator/release-notes-orch
306,https://docs.microsoft.com/en-us/system-center/scsm/release-notes-sm
307,https://docs.microsoft.com/en-us/system-center/sma/release-notes-sma
308,https://docs.microsoft.com/en-us/system-center/spf/release-notes-spf
309,https://docs.microsoft.com/en-us/system-center/vmm/release-notes-vmm
310,https://docs.microsoft.com/en-us/system-center/dpm/what-s-new-in-dpm
311,https://docs.microsoft.com/en-us/system-center/scom/whats-new-in-om
312,https://docs.microsoft.com/en-us/system-center/vmm/whats-new-in-vmm
313,https://docs.microsoft.com/en-us/system-center/orchestrator/whats-new-in-orch
314,https://docs.microsoft.com/en-us/system-center/scsm/whats-new-in-sm
315,https://docs.microsoft.com/en-us/system-center/sma/whats-new-in-sma
316,https://docs.microsoft.com/en-us/system-center/spf/whats-new-in-spf
317,https://docs.microsoft.com/en-us/azure/azure-monitor/overview
318,https://docs.microsoft.com/en-us/graph/overview-major-services
319,https://docs.microsoft.com/en-us/graph/whats-new-overview
320,https://docs.microsoft.com/en-us/graph/api/overview?toc=.%2Fref%2Ftoc.json&view=graph-rest-1.0
321,https://docs.microsoft.com/en-us/graph/api/overview?toc=.%2Fref%2Ftoc.json&view=graph-rest-beta
322,https://docs.microsoft.com/en-us/graph/users-you-can-reach
323,https://docs.microsoft.com/en-us/graph/data-connect-overview
324,https://docs.microsoft.com/en-us/graph/tutorials
325,https://docs.microsoft.com/en-us/graph/azuread-users-concept-overview
326,https://docs.microsoft.com/en-us/graph/teams-concept-overview
327,https://docs.microsoft.com/en-us/graph/onedrive-concept-overview
328,https://docs.microsoft.com/en-us/graph/outlook-calendar-concept-overview
329,https://docs.microsoft.com/en-us/graph/outlook-mail-concept-overview
330,https://docs.microsoft.com/en-us/graph/azuread-identity-access-management-concept-overview
331,https://docs.microsoft.com/en-us/graph/auth/auth-concepts
332,https://docs.microsoft.com/en-us/graph/use-the-api
333,https://docs.microsoft.com/en-us/graph/migrate-azure-ad-graph-overview
334,https://docs.microsoft.com/en-us/graph/sdks/sdks-overview
335,https://docs.microsoft.com/en-us/graph/toolkit/overview
336,https://docs.microsoft.com/en-us/graph/changelog
337,https://docs.microsoft.com/en-us/graph/known-issues
338,https://docs.microsoft.com/en-us/gaming/xbox/
339,https://docs.microsoft.com/en-us/assessments/?id=azure-architecture-review
340,https://docs.microsoft.com/en-us/learn/paths/azure-well-architected-framework/
341,https://docs.microsoft.com/en-us/learn/modules/azure-well-architected-introduction/
342,https://docs.microsoft.com/en-us/learn/paths/azure-fundamentals/
343,https://docs.microsoft.com/en-us/learn/modules/intro-to-security-in-azure/
344,https://docs.microsoft.com/en-us/learn/paths/architect-infrastructure-operations/
345,https://docs.microsoft.com/en-us/learn/modules/n-tier-architecture/
346,https://docs.microsoft.com/en-us/samples/browse/?term=iot
347,https://docs.microsoft.com/en-us/azure/architecture/reference-architectures/iot/
348,https://docs.microsoft.com/en-us/learn/browse/?products=azure&term=iot
349,https://docs.microsoft.com/en-us/azure/iot-hub/iot-c-sdk-ref/
350,https://docs.microsoft.com/en-us/javascript/api/overview/azure/iot-hub?view=azure-node-latest
351,https://docs.microsoft.com/en-us/java/api/com.microsoft.azure.sdk.iot.service?view=azure-java-stable
352,https://docs.microsoft.com/en-us/dotnet/api/overview/azure/iot?view=azure-dotnet
353,https://docs.microsoft.com/en-us/bingmaps/getting-started
354,https://docs.microsoft.com/en-us/bingmaps/v8-web-control
355,https://docs.microsoft.com/en-us/bingmaps/rest-services
356,https://docs.microsoft.com/en-us/bingmaps/spatial-data-services
357,https://docs.microsoft.com/en-us/bingmaps/sdk-native
358,https://docs.microsoft.com/en-us/windows/uwp/maps-and-location
359,https://docs.microsoft.com/en-us/previous-versions/bing/wpf-control/hh750210(v%3dmsdn.10)
360,https://docs.microsoft.com/en-us/bingmaps/articles
361,https://docs.microsoft.com/en-us/bingmaps/coverage
362,https://docs.microsoft.com/en-us/biztalk/install-and-config-guides/biztalk-server-what-s-new-installation-configuration-and-upgrade
363,https://docs.microsoft.com/en-us/biztalk/technical-guides/
364,https://docs.microsoft.com/en-us/biztalk/install-and-config-guides/whats-new-in-biztalk-server-2020
365,https://docs.microsoft.com/en-us/biztalk/core/getting-started-with-biztalk-server
366,https://docs.microsoft.com/en-us/biztalk/core/scenarios-for-business-solutions
367,https://docs.microsoft.com/en-us/biztalk/core/trading-partner-management-using-biztalk-server
368,https://docs.microsoft.com/en-us/biztalk/adapters-and-accelerators/adapters-and-accelerators-in-biztalk-server
369,https://docs.microsoft.com/en-us/biztalk/core/using-adapters
370,https://docs.microsoft.com/en-us/biztalk/adapters-and-accelerators/biztalk-adapter-pack
371,https://docs.microsoft.com/en-us/biztalk/adapters-and-accelerators/fileact-interact/microsoft-biztalk-server-fileact-and-interact-adapters-documentation
372,https://docs.microsoft.com/en-us/biztalk/adapters-and-accelerators/accelerator-rosettanet/microsoft-biztalk-accelerator-for-rosettanet-documentation
373,https://docs.microsoft.com/en-us/biztalk/adapters-and-accelerators/accelerator-swift/microsoft-biztalk-accelerator-for-swift-documentation
374,https://docs.microsoft.com/en-us/biztalk/dev-center/his-biztalk-adapters
375,https://docs.microsoft.com/en-us/biztalk/core/develop-your-biztalk-applications
376,https://docs.microsoft.com/en-us/visualstudio/ide/visual-studio-ide
377,https://docs.microsoft.com/en-us/visualstudio/get-started/tutorial-open-project-from-repo
378,https://docs.microsoft.com/en-us/visualstudio/ide/index-writing-code
379,https://docs.microsoft.com/en-us/visualstudio/ide/compiling-and-building-in-visual-studio
380,https://docs.microsoft.com/en-us/visualstudio/debugger/quickstart-debug-with-cplusplus
381,https://docs.microsoft.com/en-us/visualstudio/test/writing-unit-tests-for-c-cpp
382,https://docs.microsoft.com/en-us/windows/uwp/cpp-and-winrt-apis/get-started
383,https://docs.microsoft.com/en-us/windows/uwp/cpp-and-winrt-apis/
384,https://docs.microsoft.com/en-us/windows/uwp/gaming/e2e/
385,https://docs.microsoft.com/en-us/visualstudio/debugger/debugging-native-code
386,https://docs.microsoft.com/en-us/visualstudio/profiling
387,https://docs.microsoft.com/en-us/contribute/
388,https://docs.microsoft.com/en-us/visualstudio/get-started/csharp/tutorial-console
389,https://docs.microsoft.com/en-us/assessments/?mode=pre-assessment&id=cloud-journey-tracker
390,https://docs.microsoft.com/en-us/assessments/?mode=pre-assessment&id=Strategic-Migration-Assessment
391,https://docs.microsoft.com/en-us/assessments/?mode=pre-assessment&id=azure-architecture-review
392,https://docs.microsoft.com/en-us/learn/modules/microsoft-cloud-adoption-framework-for-azure/index
393,https://docs.microsoft.com/en-us/learn/paths/azure-fundamentals
394,https://docs.microsoft.com/en-us/learn/paths/learn-business-value-of-azure
395,https://docs.microsoft.com/en-us/power-platform/admin/data-integrator
396,https://docs.microsoft.com/en-us/dynamics365/customer-engagement/customize/business-process-flows-overview
397,https://docs.microsoft.com/en-us/dynamics365/customer-engagement/customize/workflow-processes
398,https://docs.microsoft.com/en-us/power-platform/admin/wp-security
399,https://docs.microsoft.com/en-us/powerapps/maker/model-driven-apps/build-first-model-driven-app
400,https://docs.microsoft.com/en-us/windows/uwp/publish/
401,https://docs.microsoft.com/en-us/windows-hardware/drivers/dashboard/
402,https://docs.microsoft.com/en-us/partner-center/
403,https://docs.microsoft.com/en-us/partner-center/develop/
404,https://docs.microsoft.com/en-us/learn/modules/persist-data-ef-core/
405,https://docs.microsoft.com/en-us/dotnet/api/?view=efcore-3.1
406,https://docs.microsoft.com/en-us/aspnet/core/data/ef-rp/
407,https://docs.microsoft.com/en-us/aspnet/core/data/ef-mvc/
408,https://docs.microsoft.com/en-us/ef/core/platforms/
409,https://docs.microsoft.com/en-us/aspnet/core/data/ef-rp/intro
410,https://docs.microsoft.com/en-us/aspnet/core/blazor/dependency-injection#use-of-entity-framework-dbcontext-from-di
411,https://docs.microsoft.com/en-us/ef/ef6/fundamentals/databinding/wpf
412,https://docs.microsoft.com/en-us/ef/ef6/fundamentals/databinding/winforms
413,https://docs.microsoft.com/en-us/Exchange/exchange-server
414,https://docs.microsoft.com/en-us/Exchange/exchange-server-2013-exchange-2013-help
415,https://docs.microsoft.com/en-us/Exchange/exchange-hybrid
